date,granularidad,geocode,gcd_isla,gcd_gcomarca,gcd_comarca,poblacion,poblacion_edad_media,poblacion_hombres,poblacion_mujeres,poblacion_indice_feminidad,poblacion_nacional,poblacion_extranjera,poblacion_extranjera_pc,poblacion_00a14,poblacion_15a64,poblacion_65mas,poblacion_65a74,poblacion_75a84,poblacion_85mas,poblacion_00a14_pc,poblacion_15a64_pc,poblacion_65mas_pc,poblacion_indice_dependencia,poblacion_indice_dependencia_mayores,poblacion_indice_dependencia_menores,poblacion_indice_vejez,poblacion_indice_juventud,poblacion_indice_sobreenvejecimiento,poblacion_indice_ancianidad,superficie,poblacion_ds,poblacion_extranjera_ds,poblacion_00a02,poblacion_03a05,poblacion_06a11,poblacion_12a15,poblacion_16a17,poblacion_00a17,poblacion_nacida_canarias,poblacion_nacida_es_xcanarias,poblacion_nacida_extranjero,poblacion_nacida_canarias_pc,poblacion_nacida_es_xcanarias_pc,poblacion_nacida_extranjero_pc
2000-01-01,MUNICIPIO,38030,ES707,ES707A0,ES707A02,2204,43.8,1086,1118,102.95,2117,87,3.95,253,1467,484,244,168,72,11.48,66.56,21.96,50.24,32.99,17.25,191.3,52.27,14.88,34.71,3505.04,62.88,2.48,39,48,100,90,40,317,1966,71,167,89.2,3.22,7.58
2000-01-01,MUNICIPIO,38031,ES709,ES709A2,ES709A24,34147,36.5,16881,17266,102.28,32233,1914,5.61,5617,24584,3946,2506,1096,344,16.45,71.99,11.56,38.9,16.05,22.85,70.25,142.35,8.72,27.77,5646.81,604.71,33.9,609,982,2649,1846,1037,7123,30126,948,3073,88.22,2.78,9
2000-01-01,MUNICIPIO,38032,ES709,ES709A1,ES709A10,12696,35,6408,6288,98.13,12274,422,3.32,2345,9249,1102,699,286,117,18.47,72.85,8.68,37.27,11.91,25.35,46.99,212.79,10.62,25.95,3931.15,322.96,10.73,410,447,989,651,323,2820,9980,1787,929,78.61,14.08,7.32
2000-01-01,MUNICIPIO,38033,ES707,ES707A0,ES707A02,5229,42,2650,2579,97.32,5176,53,1.01,621,3591,1017,592,290,135,11.88,68.67,19.45,45.61,28.32,17.29,163.77,61.06,13.27,28.52,4287.29,121.97,1.24,103,104,251,210,119,787,4790,127,312,91.6,2.43,5.97
2000-01-01,MUNICIPIO,38034,ES709,ES709A2,ES709A23,4345,39.1,2149,2196,102.19,4251,94,2.16,570,3143,632,379,183,70,13.12,72.34,14.55,38.24,20.11,18.14,110.88,90.19,11.08,28.96,2060.52,210.87,4.56,0,109,283,251,141,784,4061,54,230,93.46,1.24,5.29
2000-01-01,MUNICIPIO,38035,ES709,ES709A3,ES709A31,7315,34.5,3708,3607,97.28,6150,1165,15.93,1467,5140,708,418,215,75,20.05,70.27,9.68,42.32,13.77,28.54,48.26,207.2,10.59,30.37,4203.66,174.02,27.71,265,303,585,412,214,1779,5534,458,1323,75.65,6.26,18.09
2000-01-01,MUNICIPIO,38036,ES706,ES706A0,ES706A02,7001,36.7,3541,3460,97.71,6804,197,2.81,1161,4977,863,509,241,113,16.58,71.09,12.33,40.67,17.34,23.33,74.33,134.53,13.09,27.93,11313.4,61.88,1.74,174,210,519,346,189,1438,6116,554,331,87.36,7.91,4.73
2000-01-01,MUNICIPIO,38037,ES707,ES707A0,ES707A01,18204,38.2,8867,9337,105.3,17886,318,1.75,2832,12634,2738,1445,907,386,15.56,69.4,15.04,44.09,21.67,22.42,96.68,103.43,14.1,33.13,4341.21,419.33,7.33,471,550,1210,829,534,3594,15814,1405,985,86.87,7.72,5.41
2000-01-01,MUNICIPIO,38038,ES709,ES709A1,ES709A10,215132,37.9,103660,111472,107.54,210659,4473,2.08,32635,153979,28518,16793,8719,3006,15.17,71.57,13.26,39.72,18.52,21.19,87.38,114.44,10.54,30.57,15044,1430.02,29.73,4071,6069,14365,11057,6185,41747,180532,23513,11087,83.92,10.93,5.15
2000-01-01,MUNICIPIO,38039,ES709,ES709A2,ES709A21,10529,36.2,5275,5254,99.6,9712,817,7.76,1849,7481,1199,773,324,102,17.56,71.05,11.39,40.74,16.03,24.72,64.85,154.21,8.51,27.02,2237.31,470.61,36.52,265,354,779,591,265,2254,8994,392,1143,85.42,3.72,10.86
